Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
TTEN3,"8,36","8,07","1,6","0,652","0,18%","0,712","2,59","11,83","4,17","11,61","10,56","5,51%","8,08%","1,61","13,04%","19,84%","15.844.500,00","2.592.340.000,00","0,44","0,00%"
AZEV4,"1,21","8,07","0,75","0,289","0,00%","0,188","-2,91","-1,29","-0,44","-1,72","-2,54","-22,38%","3,59%","0,83","-16,20%","9,28%","490.004,00","124.647.000,00","0,38","85,63%"
WSON33,67,"8,07","0,98","1,067","0,00%","0,4","13,41","2,42","-0,89","5,08","5,08","44,14%","13,58%","1,26","18,36%","12,17%",0,"2.148.530.000,00","1,21","5,23%"
CMET4,"3,91","8,1","5,38","3,068","0,00%","3,136","9,47","5,72","27,2","5,34","5,34","53,63%","43,03%","2,64","81,40%","66,40%",0,"2.847.970.000,00","0,18","30,18%"
RDTR3,"6,3","8,11","1,37",0,"0,00%","1,32",0,"-1.919,75",0,"-1.897,05","-219,41","0,00%","0,00%",0,"0,00%","16,95%",0,"497.092.000,00",0,"0,00%"
FRAS4,"5,79","8,15","0,87","0,522","0,00%","0,416","1,03","4,06","4,23","3,85","2,96","12,84%","6,34%","2,92","16,20%","10,66%",0,"1.798.950.000,00","0,52","32,16%"
ALUP11,"26,5","8,21","1,08","1,836","4,64%","0,284","2,38","2,4","-0,66","5,06","4,84","76,57%","40,51%","2,86","13,13%","13,16%","22.133.700,00","7.188.600.000,00","1,54","27,27%"
LAVV3,"4,42","8,25","0,77","1,705","13,95%","0,493","0,82","10,17","0,95","4,65","4,6","16,76%","24,45%","3,65","6,75%","9,35%","4.543.500,00","1.143.130.000,00",0,"-23,82%"
VBBR3,"14,25","8,32","1,31","0,095","3,27%","0,42","1,49","3,46","-2,58","6,17","5,53","2,73%","1,14%","2,19","14,56%","15,80%","174.512.000,00","12.636.000.000,00","1,28","14,96%"
VULC3,"11,46","8,36","1,75","1,165","3,23%","1,186","2,81","7,32","3,33","7,7","6,38","15,92%","13,93%","2,65","19,04%","20,91%","7.063.180,00","1.610.780.000,00","0,22","17,67%"
POMO4,"2,3","8,39","0,72","0,462","1,61%","0,297","1,49","12,9","-10,42","21,43","12,76","3,58%","5,02%","1,57","2,99%","8,53%","15.549.000,00","3.045.390.000,00","0,78","1,97%"
MRVE3,"7,49","8,4","0,58","0,526","5,28%","0,158","0,65","18,87","-0,68","51,21","29,83","2,79%","7,40%","2,11","0,90%","6,94%","123.641.000,00","6.209.620.000,00","1,11","6,70%"
BRGE11,9,"8,44","0,51","166,286","4,20%","0,199","0,59","-0,96","1,4","1,06","1,07","-17313,40%","2917,14%","2,33","-35,55%","6,09%","2.590,72","1.290.420.000,00",0,"-40,27%"
AGIN3,"5,29","8,46","1,23","1,816","0,00%","0,565","1,29","10,92","3,55","14,68","14,68","16,63%","21,83%","2,72","5,59%","14,56%",0,"1.028.210.000,00","0,55","44,17%"
CPRE3,"18,23","8,48","1,82","3,097","0,00%","0,877","47,73","5,65","-2,59","5,82","4,35","54,79%","37,17%","1,12","17,64%","21,51%",0,"5.934.540.000,00","0,29","18,32%"
AELP3,"1,93","8,49","-200,57","-0,062","0,00%","5,216",0,"-12,58",0,"-11,94","-11,98","0,49%","-0,73%",0,"0,00%","-2363,83%",0,"-904.000,00",0,"1,18%"
CPSL3,"38,02","8,56","3,49","0,787","0,00%","2,043","7,39","5,79","11,84","5,48","5,48","13,59%","9,20%","1,89","57,15%","40,82%",0,"1.634.730.000,00","0,17","16,21%"
BRSR5,"14,99","8,61","0,68",0,"5,78%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","7,90%","1.790,37","9.004.730.000,00",0,"2,67%"
COCE3,"57,7","8,66","1,21","0,506","3,37%","0,361","-5,75","3,04","-0,82","5,87","4,71","16,61%","5,84%","0,81","13,75%","13,98%",0,"3.710.520.000,00","1,2","15,91%"
BRGE8,"9,26","8,68","0,53","171,089","3,40%","0,205","0,6","-0,99","1,44","1,03","1,04","-17313,40%","2917,14%","2,33","-35,55%","6,09%","3.979,26","1.290.420.000,00",0,"-40,27%"
TMGC12,550,"8,71","1,12","0,8","0,00%","0,77","4,66","12,27","8,22","10,94","10,94","6,52%","9,18%","1,69","8,73%","12,83%",0,"1.167.010.000,00","0,05","10,49%"
ACES4,"94,73","8,74","2,27","1,683","0,00%","1,43","6,37","7,16","20,65","6,5","6,5","23,52%","19,27%","2,05","26,90%","25,95%",0,"3.105.800.000,00","0,09","13,34%"
CIEL3,"4,58","8,76","1,15","1,577","5,46%","0,12","0,98","6,31","76,46","7,98","5,54","24,99%","18,00%","1,16","7,07%","13,08%","155.786.000,00","10.854.700.000,00","0,61","-10,83%"
ACES3,"95,27","8,79","2,28","1,693","0,00%","1,438","6,4","7,2","20,77","6,54","6,54","23,52%","19,27%","2,05","26,90%","25,95%",0,"3.105.800.000,00","0,09","13,34%"
CRIV3,"4,83","8,83","0,47",0,"0,52%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","5,32%","13.028,00","1.057.520.000,00",0,"2,52%"
BGIP4,"17,83","8,87","0,47",0,"6,15%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","5,28%","5.662,30","582.335.000,00",0,"0,15%"
CZRS4,"2,49","8,89","0,3",0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","3,34%",0,"1.145.670.000,00",0,"14,44%"
AFLU5,"5,03","8,93","2,14","2,911","0,00%","1,875","9,63","8,32","11,92","7,38","7,05","34,98%","32,59%","3,27","31,18%","23,93%",0,"44.270.000,00",0,"8,61%"
AZEV3,"1,34","8,94","0,83","0,321","0,00%","0,209","-3,22","-1,43","-0,49","-1,86","-2,75","-22,38%","3,59%","0,83","-16,20%","9,28%","176.922,00","124.647.000,00","0,38","85,63%"
RPAD6,"6,65","8,94","0,53",0,"0,01%","0,523","9,03","-131,85","9,04","-116,52","-116,52","0,00%","0,00%","14,72","-0,42%","5,87%","3.263,12","1.072.040.000,00",0,"-31,35%"
CSMG3,"15,09","8,97","0,8","0,934","2,55%","0,46","883,59","5,09","-1,68","7,78","4,6","18,34%","10,40%",1,"9,55%","8,89%","28.116.600,00","7.191.000.000,00","0,48","7,21%"
VIVO3,"65,79","8,99","2,69","1,366","0,00%","1,175","-29,21","6,21","-4,74","6,65","6,65","22,01%","15,20%","0,89","23,92%","29,88%",0,"9.816.290.000,00","0,35","13,06%"
CNFB4,"5,99","9,01","1,57","1,511","0,00%","0,872","3,47","8,27","53,95","10,05","7,85","18,27%","16,77%","2,2","12,01%","17,39%",0,"1.552.470.000,00","0,47","-10,61%"
BEEF3,"12,36","9,03","12,07","0,237","4,54%","0,352","1,26","2,97","-1,21","5,54","4,78","7,98%","2,63%","1,7","26,28%","133,61%","94.268.200,00","621.997.000,00","23,22","19,94%"
CXSE3,"7,73","9,09","1,97",0,"8,39%","1,947","18,11","-255,41","18,13","-241,4","-241,42","0,00%","0,00%","9,23","-0,85%","21,69%","23.411.500,00","11.753.200.000,00",0,"0,00%"
CURY3,"10,67","9,11","4,22","1,436","4,83%","1,118","2,99","6,71","25,67","6,33","6,49","21,40%","16,09%","2,05","22,68%","46,30%","22.056.100,00","738.300.000,00","0,62","36,15%"
AFLU3,"5,15","9,15","2,19","2,981","0,00%","1,919","9,86","8,52","12,21","7,57","7,24","34,98%","32,59%","3,27","31,18%","23,93%",0,"44.270.000,00",0,"8,61%"
SJOS3,"1,19","9,21","-0,1","4,816","0,00%","3,629","-0,1","13,13","-0,1","37,2","37,2","36,69%","52,31%","0,01","-3,02%","-1,05%",0,"-166.777.000,00","-0,18","30,96%"
PRIO3,"35,35","9,23","3,38","4,353","0,00%","1,566","3,22","7,18","70,9","7,16","5,87","60,61%","47,17%","7,82","42,20%","36,60%","462.114.000,00","9.237.920.000,00","0,99","71,57%"
CGAS3,120,"9,28","9,56","0,967","11,57%","1,227","7,57","5,71","-2,7","7,6","6,47","16,92%","10,42%","1,64","28,46%","103,02%","36.196,90","1.663.730.000,00","4,04","22,78%"
RPAD5,"6,9","9,28","0,55",0,"8,18%","0,543","9,37","-136,81","9,38","-121,48","-121,48","0,00%","0,00%","14,72","-0,42%","5,87%","988,61","1.072.040.000,00",0,"-31,35%"
BRGE12,"9,9","9,28","0,57","182,914","0,00%","0,219","0,64","-1,06","1,54","0,96","0,97","-17313,40%","2917,14%","2,33","-35,55%","6,09%","6.793,42","1.290.420.000,00",0,"-40,27%"
GRND3,"6,16","9,32","1,3","2,189","4,96%","1,177","2,19","17,93","2,23","14,62","11,31","12,21%","23,48%","7,35","8,90%","13,96%","9.457.370,00","4.269.370.000,00","0,03","3,12%"
CRIV4,"5,11","9,34","0,5",0,"9,03%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","5,32%","21.877,00","1.057.520.000,00",0,"2,52%"
CEED4,35,"9,35","-0,86","0,52","0,00%","0,384","1.002,01","4,98","-0,34","9,26","6,89","10,44%","5,56%",1,"9,39%","-9,22%","2.500,00","-2.772.020.000,00","-0,95","68,24%"
